observers,transectID,plotID,date,species,observation,comments,count,waypoint,location,Side of transect,distance,bearing,tree,height,photo number
"BW, AS, CN",T3.5,1,06-11-18 22:55,Greater Glider,Visual,brown,1,T35P1SL7,"-37.1912026,148.8489555",Left,42,32,Eucalyptus croagingalensis ,36,
"BW, AS, CN",T3.5,1,06-11-18 23:08,Southern Boobook,Visual,,1,,"-37.1918819,148.8509269",Right,30,,Eucalyptus cypellocarpa ,25,
"BW, AS, CN",T3.5,1,06-11-18 23:13,Greater Glider,Visual,brown,1,T35P1SL8,"-37.1914726,148.8520578",Left,10,270,Eucalyptus croagingalensis ,30,
"BW, AS, CN",T3.5,1,06-11-18 23:13,Greater Glider,Visual,brown,2,T35P1SL9,"-37.1914361,148.8519394",Left,15,25,Eucalyptus cypellocarpa ,28,
"BW, AS, CN",T3.5,1,06-11-18 23:26,Greater Glider,Visual,"brown, multiple trees, outside transect",3,T35P1SL10,"-37.1907306,148.8529807",Left,40,33,Eucalyptus croagingalensis ,25,
"BW, AS, CN",T3.5,1,06-11-18 23:54,Greater Glider,Visual,brown next to tree 10,1,T35P1SL11,"-37.1901821,148.8432344",Right,50,180,Eucalyptus cypellocarpa ,30,
"BW, CN",T3.5,5,08-11-18 21:21,Southern Boobook,Vocal ,,1,,"-37.1305321,148.8391488",Left,,,,,
"BW, CN",T3.5,5,08-11-18 21:23,Greater Glider,Visual,brown ,1,T35P5SL1,"-37.1302642,148.8385367",Right,20,317,Eucalyptus  croagingalensis ,15,
"BW, CN",T3.5,5,08-11-18 21:29,Mt brushtail possum,Visual,,1,,"-37.130248,148.838206",Left,5,170,Acacia dealbata ,3,
"BW, CN",T3.5,5,08-11-18 21:32,Mt brushtail possum,Visual,,1,,"-37.1304532,148.8384225",Left,20,130,Acacia dealbata ,4,
"BW, CN",T3.5,5,08-11-18 21:32,Southern Boobook,Vocal ,,2,,"-37.1306575,148.8380003",Left,,,,,
"BW, CN",T3.5,5,08-11-18 21:35,Greater Glider,Visual,brown ,1,T35P5SL2,"-37.1307094,148.8382844",Left,18,179,Eucalyptus  croagingalensis ,27,
"BW, CN",T3.5,5,08-11-18 21:48,Feral Cat,Visual,"Cat
",1,,"-37.1320751,148.8350396",Right,40,,,1,
"BW, CN",T3.5,5,08-11-18 21:57,Greater Glider,Visual,brown ,1,T35P5SL3,"-37.133387,148.8345123",Left,5,175,Eucalyptus  croagingalensis ,35,
"BW, CN",T3.5,5,08-11-18 22:01,Greater Glider,Visual,brown ,1,T35P5SL4,"-37.1336383,148.8343637",Left,30,205,Eucalyptus fastigata ,40,
"BW, CN",T3.5,5,08-11-18 22:09,Greater Glider,Visual,brown ,1,T35P5SL5,"-37.1341343,148.833578",Right,10,332,Eucalyptus viminalis ,23,
"BW, CN",T3.5,2,08-11-18 23:06,Southern Boobook,Vocal ,,2,,"-37.1461221,148.8234257",Right,,,,,
"BW, CN",T3.5,2,08-11-18 23:06,Mt brushtail possum,Visual,,1,,"-37.1461221,148.8234257",Left,30,194,Acacia dealbata ,13,
"BW, CN",T3.5,2,08-11-18 23:09,Greater Glider,Visual,brown ,1,T35P2SL1,"-37.1461078,148.8233264",Right,30,227,Eucalyptus fastigata ,10,
"BW, CN",T3.5,2,08-11-18 23:15,Greater Glider,Visual,brown ,1,T35P2SL2,"-37.1465614,148.821821",Right,100,277,stag,35,
"BW, CN",T3.5,2,08-11-18 23:18,Tawny frogmouth ,Vocal ,Tawny frogmouth ,1,,"-37.1462957,148.8216148",Right,,,,,
"BW, CN",T3.5,2,08-11-18 23:22,Yellow-bellied glider,Vocal ,brown ,1,,"-37.1461651,148.8199558",Right,,270,,,
"BW, CN",T3.5,2,08-11-18 23:33,Mt brushtail possum,Visual,,1,,"-37.1460672,148.8175476",Left,20,279,Acacia dealbata ,1,
"BW, CN",T3.5,2,08-11-18 23:41,Greater Glider,Visual,brown ,1,T35P2SL3,"-37.1450306,148.8158705",Left,50,237,Eucalyptus fastigata ,25,
"BW, DT",T3,1,14-01-19 22:05,Southern Boobook,Vocal ,,2,,"-37.2560541,148.8495692",Left,,,,,
"BW, DT",T3,1,14-01-19 22:38,Yellow-bellied glider,Vocal ,,1,T3P1SL1,"-37.2537781,148.8479775",Right,20,,,,
"BW, DT",T3,1,14-01-19 22:42,Southern Boobook,Vocal ,,1,,"-37.2538357,148.8477321",Left,,,,,
"BW, DT",T3,1,14-01-19 22:48,Mt brushtail possum,Visual,,2,,"-37.2536039,148.8475044",Left,5,210,Acacia dealbata ,10,
"BW, DT",T3,1,14-01-19 22:53,Mt brushtail possum,Visual,,1,,"-37.2536686,148.8476007",Right,20,60,Acacia dealbata ,15,
"BW, DT",T3,1,14-01-19 23:06,Greater Glider,Visual,black,1,T3P1SL2,"-37.252105,148.8468452",Left,5,240,Eucalyptus viminalis ,35,
"BW, DT",T3,1,14-01-19 23:10,Mt brushtail possum,Visual,,2,,"-37.252118,148.8466737",Left,10,300,Acacia dealbata ,18,
"BW, DT",T3,1,14-01-19 23:29,Mt brushtail possum,Visual,,1,,"-37.250591,148.8463001",Left,7,25,Acacia longifolia ,10,
"BW, DT",T3,1,14-01-19 23:35,Mt brushtail possum,Visual,,3,,"-37.2500635,148.8464259",Right,15,70,Acacia longifolia ,8,
"BW, DT",T3,1,14-01-19 23:35,Greater Glider,Visual,black,1,T3P1SL3,"-37.2500635,148.8464259",Right,20,330,Eucalyptus viminalis ,35,
"BW, DT",T3,1,14-01-19 23:48,Mt brushtail possum,Visual,,3,,,Right,40,21,Acacia longifolia ,15,
